Year,Q1,Q2,Q3
1904,13.15,16.03,20.11
1905,9.79,13.91,18.35
1906,9.73,14.20,18.86
1907,7.60,11.40,15.67
1908,7.22,11.27,15.59
1909,6.94,10.76,15.02
1910,6.70,11.09,16.39
1911,4.71,9.28,14.50
1912,7.22,12.45,30.89
1913,9.38,21.99,31.58
1914,18.36,23.09,28.68
1915,16.81,20.66,24.62
1916,12.95,17.19,21.52
1917,11.08,15.86,20.97
1918,8.70,13.92,18.99
1919,7.70,12.43,16.99
1920,7.82,12.19,16.78
1921,6.51,10.18,14.64
1922,6.18,9.87,16.79
1923,7.23,18.59,31.56
1924,20.42,25.06,30.44
1925,18.10,21.84,26.09
1926,15.57,20.00,24.57
1927,10.24,14.64,19.90
1928,9.98,14.21,18.46
1929,6.84,10.77,15.60
1930,6.75,10.97,15.47
1931,5.53,8.71,12.83
1932,6.06,10.36,18.27
1933,7.40,12.46,22.93
1934,19.16,25.69,29.77
1935,19.70,23.98,28.41
1936,16.01,20.44,25.86
1937,11.74,16.49,22.33
1938,10.29,15.29,21.48
1939,8.81,13.67,18.91
1940,7.96,11.48,15.40
1941,6.62,10.35,14.08
1942,5.66,9.10,12.72
1943,5.13,8.72,13.32
1944,17.94,24.50,30.05
1945,19.41,23.65,28.08
1946,16.55,21.47,27.31
1947,12.60,17.28,22.08
1948,10.16,14.23,19.36
1949,8.54,13.32,18.42
1950,9.43,13.87,18.58
1951,7.83,11.43,15.91
1952,4.90,9.24,13.63
1953,6.40,10.48,15.55
1954,10.40,25.04,33.96
1955,21.44,25.39,30.19
1956,18.30,22.74,27.50
1957,14.26,19.55,25.67
1958,11.55,16.97,23.21
1959,9.79,15.15,20.84
1960,8.99,14.07,20.50
1961,7.23,12.10,18.37
1962,7.26,11.48,16.85
1963,9.37,13.69,29.63
1964,7.80,14.84,33.16
1965,17.70,23.65,30.06
1966,18.04,22.36,27.61
1967,16.16,20.50,25.13
1968,12.22,16.82,22.75
1969,10.64,15.05,20.81
1970,9.62,14.13,19.09
1971,8.21,12.48,17.05
1972,7.95,11.61,15.86
1973,7.82,11.65,15.18
1974,8.00,12.37,17.03
1975,5.22,9.48,15.27
1976,6.38,12.86,26.72
1977,17.72,22.77,28.52
1978,17.07,21.53,27.51
1979,13.44,18.41,24.50
1980,11.38,16.63,22.90
1981,8.68,13.74,19.18
1982,8.06,12.91,18.28
1983,9.10,13.45,18.49
1984,7.71,12.31,17.14
1985,5.26,10.08,23.38
1986,5.80,13.40,30.75
1987,16.53,24.53,30.84
1988,18.17,22.44,27.86
1989,15.50,20.10,26.00
1990,12.42,18.78,28.00
1991,9.91,14.96,21.43
1992,8.26,13.18,18.63
1993,7.40,11.52,16.13
1994,7.52,11.04,14.77
1995,7.68,12.09,16.90
1996,7.07,10.27,15.53
1997,20.38,30.08,50.86
1998,19.04,23.34,28.34
1999,14.56,19.52,25.33
2000,11.91,16.44,21.83
2001,9.34,14.14,20.25
2002,9.83,15.07,19.93
2003,9.24,13.87,19.31
2004,7.30,11.52,15.79
2005,6.80,10.92,16.11
2006,6.75,11.45,19.58
2007,6.11,11.71,40.30
